window_idx,window_start,window_end,center_date,spectral_gap,entropy_production,mean_irreversibility,vamp2_score,leading_eigenvalue_mag,second_eigenvalue_mag,eig_mag_0,eig_mag_1,eig_mag_2,eig_mag_3,eig_mag_4
43,215,715,1994-12-08 00:00:00,0.37184586131038533,0.1221364289522171,1.5342806577682495,0.21778476238250732,0.15579265356063843,0.15579265356063843,0.15579265356063843,0.15579265356063843,0.15310901403427124,0.020033443346619606,0.020033443346619606
44,220,720,1994-12-15 00:00:00,0.3676681659273096,0.1236259937286377,1.5259449481964111,0.21797846257686615,0.15908114612102509,0.15908114612102509,0.15908114612102509,0.15908114612102509,0.13921427726745605,0.023199263960123062,0.023199263960123062
45,225,725,1994-12-22 00:00:00,0.3730555332452079,0.11862212419509888,1.5267360210418701,0.21347714960575104,0.1548531949520111,0.1548531949520111,0.1548531949520111,0.1548531949520111,0.13957048952579498,0.023893358185887337,0.023893358185887337
46,230,730,1994-12-30 00:00:00,0.3745984776571488,0.13464930653572083,1.573033094406128,0.2145967334508896,0.15366315841674805,0.15366315841674805,0.15366315841674805,0.15366315841674805,0.15057015419006348,0.02789485640823841,0.008996796794235706
47,235,735,1995-01-09 00:00:00,0.3702542908596156,0.12721027433872223,1.490064263343811,0.2056998908519745,0.1570373773574829,0.1570373773574829,0.1570373773574829,0.1570373773574829,0.13311634957790375,0.023857641965150833,0.0023184120655059814
48,240,740,1995-01-16 00:00:00,0.3615417523264509,0.1268991082906723,1.5131229162216187,0.20585224032402039,0.1640295386314392,0.1640295386314392,0.1640295386314392,0.1640295386314392,0.12263316661119461,0.011042384430766106,0.002703536069020629
49,245,745,1995-01-23 00:00:00,0.3627807700227341,0.12303096055984497,1.4831607341766357,0.1957298368215561,0.16301649808883667,0.16301649808883667,0.16301649808883667,0.16301649808883667,0.11533243209123611,0.013353542424738407,0.013353542424738407
50,250,750,1995-01-30 00:00:00,0.37028011581631104,0.12699002027511597,1.473226547241211,0.1994425505399704,0.15701709687709808,0.15701709687709808,0.15701709687709808,0.15701709687709808,0.12427262216806412,0.010084012523293495,0.010084012523293495
51,255,755,1995-02-06 00:00:00,0.37138193400232944,0.13174714148044586,1.4751877784729004,0.2017059028148651,0.15615446865558624,0.15615446865558624,0.15615446865558624,0.15615446865558624,0.12201147526502609,0.014674561098217964,0.014674561098217964
52,260,760,1995-02-13 00:00:00,0.36787116432397227,0.13607650995254517,1.434820532798767,0.19544166326522827,0.15891976654529572,0.15891976654529572,0.15891976654529572,0.15891976654529572,0.1212768480181694,0.0172817874699831,0.006593900732696056
53,265,765,1995-02-21 00:00:00,0.3711207822123065,0.13845473527908325,1.3878329992294312,0.17812444269657135,0.1563584953546524,0.1563584953546524,0.1563584953546524,0.1563584953546524,0.10539448261260986,0.025358574464917183,0.0072855269536376
54,270,770,1995-02-28 00:00:00,0.38615056555406446,0.13163888454437256,1.4012616872787476,0.1806059181690216,0.14503896236419678,0.14503896236419678,0.14503896236419678,0.14503896236419678,0.07317191362380981,0.07317191362380981,0.017353691160678864
55,275,775,1995-03-07 00:00:00,0.4017759775290209,0.13077981770038605,1.4405242204666138,0.19827771186828613,0.13413883745670319,0.13413883745670319,0.13413883745670319,0.13413883745670319,0.11761918663978577,0.03064202517271042,0.03064202517271042
56,280,780,1995-03-14 00:00:00,0.3817330190840021,0.1766931265592575,1.4135764837265015,0.21180444955825806,0.14827819168567657,0.14827819168567657,0.14827819168567657,0.14827819168567657,0.0784817785024643,0.031527746468782425,0.031527746468782425
