name,n_valid,vamp2_mean,vamp2_std,spectral_gap_mean,spectral_gap_std,entropy_total_mean,entropy_total_std,eigenvalue_cv_mean,eigenvalue_cv_std,elapsed_sec
n_modes_sweep_model.n_modes=5,3,-0.7960510154565176,0.048190754748397756,0.07070810596148173,0.07221173288572066,0.9267397125562032,0.26148680058988205,0.24756410469611487,0.1590776606874861,42.95302987098694
n_modes_sweep_model.n_modes=10,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.23173546791077
n_modes_sweep_model.n_modes=20,3,-3.6461204290390015,0.12208201476318425,0.16918115317821503,0.04408060662090346,3.1999194622039795,0.24814246418583824,0.6376345356305441,0.02942036581919582,67.14067244529724
n_modes_sweep_model.n_modes=50,3,-12.342237949371338,0.04095409411805385,0.013852934042612711,0.019591007201722844,6.905536492665608,0.11814378666353781,0.469832847515742,0.020702454259650935,32.42974853515625
no_embedding,3,-0.5795589685440063,0.1262642991472202,0.015795640647411346,0.02233840922994086,1.5150373776753743,0.22430014113200963,0.663580596446991,0.09866038189318209,30.122283935546875
no_entropy,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.55357122421265
no_orthogonality,3,-1.9465062419573467,0.0299356692377737,0.04961848258972168,0.0391660657563904,1.4988693793614705,0.07241422560879475,0.3940756022930145,0.026764190991417167,64.41123414039612
no_spectral_penalty,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.54727172851562
shared_weights,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.9024715423584
standardization,3,-1.8883701264858246,0.03985052532519492,0.0,0.0,1.5717886288960774,0.07364072057177093,0.3787429432074229,0.028623727632999186,76.69189953804016
window_sweep_rolling.window_size=250,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.99670767784119
window_sweep_rolling.window_size=500,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.79363894462585
window_sweep_rolling.window_size=750,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.35239315032959
window_sweep_rolling.window_size=1000,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.7247006893158
